Missingness,Iteration,Accuracy
0.0,1,0.5768321513002365
0.0,2,0.5957446808510638
0.0,3,0.6264775413711584
0.0,4,0.5910165484633569
0.0,5,0.6122931442080378
0.0,6,0.5791962174940898
0.0,7,0.6122931442080378
0.0,8,0.607565011820331
0.0,9,0.6217494089834515
0.0,10,0.5768321513002365
0.0,11,0.5981087470449172
0.0,12,0.6430260047281324
0.0,13,0.6052009456264775
0.0,14,0.6099290780141844
0.0,15,0.6572104018912529
0.0,16,0.5768321513002365
0.0,17,0.6099290780141844
0.0,18,0.5886524822695035
0.0,19,0.5933806146572104
0.0,20,0.5721040189125296
0.0,21,0.5886524822695035
0.0,22,0.6122931442080378
0.0,23,0.5957446808510638
0.0,24,0.5933806146572104
0.0,25,0.5862884160756501
0.0,26,0.607565011820331
0.0,27,0.6052009456264775
0.0,28,0.6524822695035462
0.0,29,0.640661938534279
0.0,30,0.6122931442080378
