iter	Passed	Remaining
0	11	11174
1	22	11147
2	32	10846
3	42	10493
4	52	10398
5	62	10343
6	72	10218
7	83	10363
8	94	10395
9	105	10464
10	116	10458
11	125	10340
12	136	10395
13	146	10330
14	157	10338
15	169	10394
16	179	10393
17	190	10384
18	200	10365
19	211	10360
20	222	10368
21	233	10385
22	244	10369
23	254	10355
24	265	10372
25	275	10309
26	285	10293
27	296	10298
28	306	10276
29	317	10268
30	329	10304
31	341	10342
32	354	10379
33	367	10444
34	383	10560
35	396	10615
36	408	10629
37	419	10608
38	430	10601
39	441	10594
40	451	10550
41	462	10551
42	473	10540
43	485	10541
44	495	10523
45	507	10521
46	516	10477
47	525	10418
48	535	10392
49	546	10376
50	557	10368
51	567	10341
52	578	10332
53	589	10324
54	600	10320
55	611	10303
56	621	10281
57	633	10292
58	642	10247
59	653	10239
60	665	10250
61	676	10232
62	686	10217
63	697	10197
64	707	10173
65	716	10142
66	727	10129
67	739	10133
68	751	10134
69	761	10119
70	771	10088
71	781	10071
72	792	10067
73	804	10061
74	814	10046
75	825	10039
76	837	10042
77	848	10029
78	855	9976
79	865	9956
80	876	9940
81	887	9934
82	898	9921
83	907	9901
84	918	9889
85	929	9882
86	940	9866
87	950	9852
88	961	9841
89	972	9828
90	982	9818
91	993	9802
92	1003	9788
93	1014	9776
94	1024	9757
95	1034	9744
96	1045	9733
97	1057	9729
98	1068	9723
99	1078	9705
100	1089	9695
101	1099	9682
102	1110	9667
103	1122	9668
104	1133	9665
105	1144	9649
106	1155	9639
107	1164	9615
108	1174	9597
109	1185	9589
110	1195	9576
111	1207	9574
112	1219	9568
113	1228	9547
114	1239	9535
115	1249	9521
116	1259	9506
117	1270	9492
118	1281	9487
119	1292	9478
120	1303	9466
121	1313	9454
122	1325	9447
123	1336	9440
124	1347	9431
125	1356	9412
126	1368	9406
127	1380	9405
128	1392	9404
129	1405	9405
130	1416	9396
131	1428	9390
132	1440	9390
133	1452	9384
134	1463	9375
135	1473	9360
136	1485	9354
137	1495	9340
138	1505	9323
139	1515	9311
140	1527	9308
141	1539	9301
142	1549	9286
143	1559	9271
144	1570	9260
145	1581	9250
146	1591	9236
147	1601	9218
148	1610	9200
149	1622	9192
150	1633	9184
151	1643	9166
152	1654	9161
153	1666	9156
154	1676	9141
155	1688	9134
156	1699	9126
157	1710	9115
158	1721	9107
159	1733	9103
160	1745	9096
161	1755	9080
162	1766	9071
163	1778	9067
164	1789	9057
165	1800	9045
166	1811	9034
167	1823	9028
168	1834	9020
169	1844	9005
170	1854	8989
171	1865	8978
172	1875	8967
173	1888	8962
174	1898	8949
175	1909	8939
176	1920	8931
177	1932	8923
178	1942	8908
179	1953	8901
180	1964	8888
181	1975	8878
182	1987	8872
183	1998	8861
184	2009	8852
185	2020	8842
186	2032	8835
187	2041	8818
188	2052	8809
189	2066	8811
190	2080	8811
191	2092	8804
192	2102	8789
193	2114	8785
194	2129	8791
195	2142	8788
196	2154	8781
197	2166	8774
198	2177	8766
199	2189	8758
200	2200	8747
201	2210	8733
202	2219	8712
203	2228	8694
204	2238	8680
205	2249	8669
206	2260	8661
207	2272	8652
208	2281	8636
209	2292	8625
210	2304	8616
211	2315	8605
212	2325	8592
213	2336	8583
214	2347	8572
215	2358	8562
216	2373	8562
217	2384	8555
218	2397	8549
219	2407	8534
220	2418	8524
221	2427	8506
222	2436	8489
223	2448	8482
224	2458	8469
225	2469	8456
226	2479	8445
227	2489	8431
228	2498	8413
229	2509	8400
230	2520	8389
231	2530	8375
232	2541	8366
233	2551	8353
234	2563	8343
235	2574	8334
236	2585	8324
237	2597	8317
238	2608	8305
239	2619	8294
240	2628	8278
241	2639	8268
242	2650	8257
243	2662	8248
244	2672	8236
245	2684	8227
246	2695	8217
247	2706	8208
248	2718	8200
249	2728	8185
250	2737	8169
251	2746	8152
252	2757	8141
253	2768	8132
254	2777	8115
255	2787	8101
256	2799	8092
257	2809	8081
258	2820	8069
259	2832	8061
260	2843	8052
261	2855	8044
262	2864	8027
263	2874	8015
264	2885	8004
265	2894	7987
266	2905	7975
267	2915	7962
268	2926	7951
269	2937	7942
270	2948	7931
271	2957	7916
272	2968	7905
273	2980	7896
274	2990	7884
275	3001	7874
276	3012	7864
277	3024	7855
278	3036	7846
279	3048	7837
280	3057	7822
281	3067	7809
282	3077	7795
283	3088	7786
284	3099	7777
285	3110	7764
286	3122	7757
287	3134	7749
288	3147	7744
289	3158	7732
290	3169	7722
291	3180	7712
292	3192	7702
293	3204	7694
294	3214	7681
295	3225	7670
296	3235	7657
297	3246	7648
298	3256	7635
299	3268	7626
300	3280	7617
301	3291	7608
302	3302	7596
303	3314	7588
304	3324	7576
305	3335	7564
306	3346	7554
307	3357	7543
308	3370	7536
309	3382	7529
310	3394	7520
311	3406	7512
312	3419	7504
313	3430	7494
314	3441	7484
315	3453	7474
316	3464	7465
317	3475	7454
318	3487	7445
319	3497	7433
320	3508	7420
321	3519	7410
322	3530	7399
323	3541	7388
324	3550	7374
325	3562	7365
326	3574	7355
327	3583	7342
328	3595	7333
329	3606	7322
330	3617	7310
331	3629	7302
332	3640	7291
333	3652	7282
334	3666	7277
335	3677	7267
336	3688	7257
337	3701	7249
338	3713	7241
339	3725	7231
340	3736	7220
341	3744	7204
342	3755	7193
343	3765	7179
344	3776	7169
345	3786	7157
346	3798	7148
347	3809	7137
348	3820	7127
349	3829	7112
350	3840	7101
351	3852	7091
352	3861	7078
353	3873	7069
354	3883	7055
355	3894	7044
356	3905	7033
357	3917	7024
358	3927	7011
359	3938	7002
360	3950	6992
361	3961	6981
362	3971	6969
363	3982	6958
364	3994	6948
365	4004	6936
366	4014	6924
367	4026	6914
368	4036	6902
369	4047	6890
370	4057	6879
371	4068	6869
372	4079	6857
373	4090	6846
374	4101	6835
375	4111	6822
376	4122	6812
377	4131	6798
378	4141	6786
379	4152	6775
380	4163	6764
381	4175	6755
382	4186	6744
383	4195	6730
384	4205	6718
385	4217	6708
386	4228	6697
387	4238	6685
388	4248	6672
389	4259	6661
390	4268	6648
391	4277	6634
392	4287	6622
393	4298	6611
394	4308	6599
395	4319	6587
396	4329	6576
397	4341	6566
398	4352	6556
399	4365	6548
400	4376	6537
401	4387	6526
402	4398	6515
403	4409	6504
404	4422	6496
405	4432	6485
406	4442	6473
407	4453	6461
408	4463	6450
409	4475	6440
410	4485	6428
411	4497	6418
412	4508	6408
413	4520	6398
414	4532	6388
415	4541	6375
416	4553	6366
417	4563	6354
418	4573	6342
419	4585	6332
420	4595	6320
421	4604	6306
422	4615	6295
423	4626	6284
424	4637	6274
425	4649	6264
426	4660	6253
427	4670	6241
428	4681	6231
429	4691	6218
430	4703	6209
431	4716	6201
432	4727	6190
433	4738	6179
434	4749	6169
435	4761	6158
436	4771	6147
437	4782	6135
438	4792	6124
439	4803	6113
440	4815	6103
441	4825	6091
442	4837	6081
443	4847	6069
444	4859	6060
445	4870	6050
446	4883	6041
447	4893	6029
448	4904	6018
449	4915	6007
450	4927	5998
451	4938	5987
452	4948	5974
453	4960	5965
454	4969	5952
455	4979	5940
456	4990	5929
457	5001	5918
458	5011	5906
459	5023	5896
460	5034	5886
461	5045	5875
462	5056	5865
463	5067	5853
464	5077	5841
465	5087	5830
466	5097	5817
467	5107	5806
468	5118	5794
469	5128	5783
470	5139	5772
471	5150	5761
472	5162	5751
473	5173	5741
474	5185	5731
475	5196	5720
476	5205	5707
477	5217	5697
478	5228	5687
479	5240	5677
480	5251	5666
481	5262	5655
482	5273	5644
483	5286	5635
484	5297	5625
485	5308	5614
486	5320	5604
487	5332	5594
488	5345	5586
489	5359	5577
490	5370	5567
491	5382	5557
492	5394	5547
493	5405	5536
494	5416	5525
495	5428	5515
496	5439	5504
497	5450	5494
498	5462	5484
499	5473	5473
500	5484	5462
501	5494	5450
502	5504	5438
503	5515	5427
504	5526	5417
505	5538	5406
506	5547	5393
507	5558	5382
508	5569	5372
509	5580	5361
510	5592	5351
511	5603	5340
512	5615	5330
513	5625	5319
514	5638	5309
515	5650	5300
516	5662	5290
517	5674	5279
518	5685	5269
519	5696	5258
520	5707	5247
521	5717	5235
522	5727	5224
523	5738	5213
524	5749	5202
525	5761	5191
526	5771	5179
527	5783	5169
528	5794	5159
529	5805	5148
530	5816	5137
531	5827	5126
532	5839	5116
533	5848	5103
534	5858	5092
535	5869	5081
536	5881	5070
537	5892	5059
538	5902	5048
539	5914	5037
540	5925	5027
541	5933	5014
542	5944	5002
543	5955	4992
544	5964	4979
545	5974	4968
546	5985	4957
547	5995	4945
548	6006	4934
549	6015	4922
550	6026	4911
551	6036	4898
552	6046	4887
553	6056	4875
554	6068	4865
555	6076	4852
556	6087	4841
557	6098	4830
558	6109	4820
559	6121	4809
560	6134	4800
561	6146	4790
562	6155	4778
563	6166	4766
564	6177	4756
565	6189	4745
566	6198	4733
567	6208	4721
568	6219	4710
569	6227	4697
570	6237	4686
571	6247	4674
572	6258	4664
573	6269	4653
574	6279	4641
575	6289	4629
576	6300	4618
577	6310	4607
578	6322	4597
579	6333	4586
580	6346	4577
581	6358	4567
582	6371	4557
583	6383	4547
584	6395	4536
585	6406	4526
586	6416	4514
587	6429	4504
588	6437	4491
589	6447	4480
590	6456	4468
591	6466	4456
592	6477	4445
593	6487	4434
594	6497	4422
595	6508	4411
596	6519	4400
597	6530	4390
598	6540	4378
599	6550	4367
600	6562	4356
601	6573	4346
602	6583	4334
603	6594	4323
604	6605	4312
605	6616	4301
606	6627	4291
607	6639	4280
608	6650	4269
609	6662	4259
610	6673	4248
611	6685	4238
612	6697	4228
613	6709	4217
614	6721	4207
615	6732	4196
616	6742	4185
617	6753	4174
618	6764	4163
619	6775	4152
620	6786	4141
621	6796	4130
622	6808	4119
623	6820	4109
624	6831	4098
625	6839	4086
626	6850	4075
627	6862	4065
628	6873	4054
629	6884	4043
630	6896	4032
631	6907	4022
632	6919	4011
633	6928	3999
634	6938	3988
635	6950	3977
636	6961	3966
637	6972	3955
638	6982	3944
639	6994	3934
640	7004	3923
641	7014	3911
642	7025	3900
643	7035	3889
644	7046	3878
645	7057	3867
646	7068	3856
647	7079	3845
648	7091	3835
649	7101	3824
650	7113	3813
651	7122	3801
652	7133	3790
653	7145	3780
654	7156	3769
655	7166	3758
656	7177	3746
657	7188	3736
658	7199	3725
659	7210	3714
660	7221	3703
661	7232	3692
662	7242	3681
663	7252	3669
664	7263	3659
665	7274	3648
666	7285	3637
667	7295	3626
668	7307	3615
669	7317	3604
670	7327	3592
671	7340	3582
672	7353	3572
673	7365	3562
674	7373	3550
675	7385	3539
676	7398	3529
677	7408	3518
678	7419	3507
679	7428	3495
680	7440	3485
681	7451	3474
682	7461	3463
683	7471	3451
684	7482	3440
685	7494	3430
686	7504	3418
687	7515	3408
688	7526	3397
689	7536	3386
690	7548	3375
691	7558	3364
692	7568	3353
693	7580	3342
694	7591	3331
695	7602	3320
696	7613	3309
697	7624	3299
698	7636	3288
699	7647	3277
700	7659	3266
701	7670	3256
702	7682	3245
703	7692	3234
704	7704	3224
705	7716	3213
706	7727	3202
707	7738	3191
708	7749	3180
709	7759	3169
710	7769	3158
711	7780	3147
712	7790	3135
713	7798	3123
714	7810	3113
715	7821	3102
716	7832	3091
717	7842	3080
718	7851	3068
719	7863	3058
720	7874	3047
721	7884	3035
722	7895	3025
723	7906	3014
724	7918	3003
725	7930	2993
726	7941	2981
727	7952	2971
728	7963	2960
729	7975	2949
730	7984	2938
731	7993	2926
732	8003	2915
733	8014	2904
734	8024	2893
735	8035	2882
736	8046	2871
737	8056	2860
738	8066	2849
739	8076	2837
740	8085	2826
741	8095	2814
742	8105	2803
743	8116	2792
744	8126	2781
745	8136	2770
746	8147	2759
747	8158	2748
748	8168	2737
749	8180	2726
750	8191	2715
751	8201	2704
752	8212	2693
753	8221	2682
754	8233	2671
755	8242	2660
756	8253	2649
757	8264	2638
758	8276	2627
759	8287	2617
760	8298	2606
761	8309	2595
762	8320	2584
763	8336	2575
764	8349	2564
765	8361	2554
766	8373	2543
767	8383	2532
768	8396	2522
769	8407	2511
770	8418	2500
771	8430	2489
772	8443	2479
773	8453	2468
774	8463	2457
775	8473	2446
776	8484	2435
777	8495	2424
778	8506	2413
779	8515	2401
780	8526	2390
781	8537	2379
782	8546	2368
783	8556	2357
784	8568	2346
785	8578	2335
786	8589	2324
787	8600	2313
788	8612	2303
789	8623	2292
790	8633	2281
791	8645	2270
792	8655	2259
793	8666	2248
794	8675	2237
795	8685	2225
796	8697	2215
797	8709	2204
798	8721	2194
799	8733	2183
800	8744	2172
801	8756	2161
802	8766	2150
803	8777	2139
804	8788	2128
805	8798	2117
806	8809	2106
807	8820	2096
808	8832	2085
809	8843	2074
810	8854	2063
811	8866	2052
812	8875	2041
813	8887	2030
814	8898	2019
815	8909	2009
816	8921	1998
817	8932	1987
818	8944	1976
819	8958	1966
820	8969	1955
821	8981	1944
822	8993	1934
823	9003	1923
824	9013	1911
825	9024	1901
826	9036	1890
827	9047	1879
828	9058	1868
829	9069	1857
830	9080	1846
831	9091	1835
832	9102	1824
833	9113	1813
834	9123	1802
835	9135	1792
836	9146	1781
837	9158	1770
838	9170	1759
839	9181	1748
840	9193	1738
841	9205	1727
842	9214	1716
843	9223	1704
844	9234	1693
845	9244	1682
846	9255	1671
847	9265	1660
848	9276	1649
849	9285	1638
850	9297	1627
851	9308	1616
852	9319	1606
853	9332	1595
854	9345	1584
855	9356	1573
856	9368	1563
857	9377	1552
858	9390	1541
859	9402	1530
860	9414	1519
861	9426	1509
862	9438	1498
863	9447	1487
864	9459	1476
865	9470	1465
866	9481	1454
867	9492	1443
868	9503	1432
869	9515	1421
870	9526	1410
871	9536	1399
872	9547	1388
873	9558	1377
874	9569	1367
875	9581	1356
876	9592	1345
877	9603	1334
878	9615	1323
879	9625	1312
880	9636	1301
881	9646	1290
882	9657	1279
883	9666	1268
884	9677	1257
885	9689	1246
886	9701	1235
887	9712	1224
888	9723	1214
889	9733	1202
890	9742	1191
891	9754	1181
892	9765	1170
893	9773	1158
894	9785	1148
895	9795	1136
896	9804	1125
897	9816	1115
898	9827	1104
899	9837	1093
900	9846	1081
901	9858	1071
902	9869	1060
903	9879	1049
904	9890	1038
905	9902	1027
906	9913	1016
907	9924	1005
908	9935	994
909	9947	983
910	9955	972
911	9966	961
912	9977	950
913	9988	939
914	9999	928
915	10010	918
916	10021	907
917	10030	895
918	10041	885
919	10052	874
920	10063	863
921	10075	852
922	10086	841
